2018/05/22-00:03 [pool-1-thread-1] INFO  com.example.ddd.task.CrawlerTask$$EnhancerBySpringCGLIB$$54cca0c3- crawlerOne - start
2018/05/22-00:04 [pool-1-thread-1] INFO  com.example.ddd.task.CrawlerTask$$EnhancerBySpringCGLIB$$54cca0c3- crawlerOne - log1ok
2018/05/22-00:04 [pool-1-thread-1] INFO  com.example.ddd.task.CrawlerTask$$EnhancerBySpringCGLIB$$54cca0c3- crawlerOne - log2ok
2018/05/22-00:04 [pool-1-thread-1] INFO  com.example.ddd.task.CrawlerTask$$EnhancerBySpringCGLIB$$54cca0c3- crawlerOne - log3ok
2018/05/22-00:04 [pool-1-thread-1] INFO  com.example.ddd.task.CrawlerTask$$EnhancerBySpringCGLIB$$54cca0c3- crawlerOne - log4ok
2018/05/22-10:49 [Thread-4] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5afa3c9: startup date [Mon May 21 19:44:24 CST 2018]; root of context hierarchy
2018/05/22-10:49 [Thread-4] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans on shutdown
2018/05/22-10:49 [Thread-4] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter- Unregistering JMX-exposed beans
2018/05/22-10:49 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource- {dataSource-1} closed
2018/05/22-10:49 [main] INFO  com.example.ddd.DddNettyTcpApplication- Starting DddNettyTcpApplication on dddddeMacBook-Pro.local with PID 77188 (/Users/dddd/java/ddd/target/classes started by dddd in /Users/dddd/java/ddd)
2018/05/22-10:49 [main] INFO  com.example.ddd.DddNettyTcpApplication- No active profile set, falling back to default profiles: default
2018/05/22-10:49 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6fe7aac8: startup date [Tue May 22 10:49:30 CST 2018]; root of context hierarchy
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultAuthorMapper' and 'com.example.ddd.mybatis.mapper.ConsultAuthorMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultClassMapper' and 'com.example.ddd.mybatis.mapper.ConsultClassMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultMapper' and 'com.example.ddd.mybatis.mapper.ConsultMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'liveStreamBindMapper' and 'com.example.ddd.mybatis.mapper.LiveStreamBindMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'matchMapper' and 'com.example.ddd.mybatis.mapper.MatchMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'userMapper' and 'com.example.ddd.mybatis.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- No MyBatis mapper was found in '[com.example.ddd]' package. Please check your configuration.
2018/05/22-10:49 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate- Multiple Spring Data modules found, entering strict repository configuration mode!
2018/05/22-10:49 [main] INFO  com.example.ddd.DddApplication- Starting DddApplication on dddddeMacBook-Pro.local with PID 77192 (/Users/dddd/java/ddd/target/classes started by dddd in /Users/dddd/java/ddd)
2018/05/22-10:49 [main] INFO  com.example.ddd.DddApplication- No active profile set, falling back to default profiles: default
2018/05/22-10:49 [main] INFO  org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@205d38da: startup date [Tue May 22 10:49:47 CST 2018]; root of context hierarchy
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultAuthorMapper' and 'com.example.ddd.mybatis.mapper.ConsultAuthorMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultClassMapper' and 'com.example.ddd.mybatis.mapper.ConsultClassMapper' mapperInterface. Bean already defined with the same name!
2018/05/22-10:49 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner- Skipping MapperFactoryBean with name 'consultMapper' and 'com.example.ddd.mybatis.mapper.ConsultMapper' mapperInterface. Bean already defined with the same name!
